year,有偶人口離婚率_男(千分之一),有偶人口離婚率_女(千分之一),單人,夫婦,單親,30歲以下,31-40歲,41-50歲,51-65歲,65歲以上,抗憂鬱藥物使用率_男,抗憂鬱藥物使用率_女,抗憂鬱藥物使用率
64,2,3,,,,,,,,,,,
65,3,3,,,,,,,,,,,
66,3,3,,,,,,,,,,,
67,3,3,,,,,,,,,,,
68,4,4,,,,,,,,,,,
69,4,4,,,,,,,,,,,
70,4,4,,,,,,,,,,,
71,5,5,,,,,,,,,,,
72,5,5,,,,,,,,,,,
73,5,5,,,,,,,,,,,
74,5,5,,,,,,,,,,,
75,5,5,,,,,,,,,,,
76,6,6,,,,,,,,,,,
77,6,6,,,,,,,,,,,
78,6,6,,,,,,,,,,,
79,6,6,,,,,,,,,,,
80,6,6,,,,,,,,,,,
81,6,6,,,,,,,,,,,
82,7,7,,,,,,,,,,,
83,10,9,,,,,,,,,,,
84,7,7,,,,,,,,,,,
85,8,8,,,,,,,,,,,
86,8,8,,,,,,,,,,,
87,9,9,,,,,,,,,,,
88,10,10,,,,,,,,,,,
89,11,11,,,,,,,,,,,
90,11,12,10.73,13.03,7.73,,,,,,,,
91,12,12,8.51,12.88,8.09,,,,,,,,
92,13,13,9.27,14.28,8.24,,,,,,,,
93,12,13,9.94,14.17,7.74,,,,,,,,
94,12,13,9.92,15.98,8.6,15.67988332,14.51017664,18.91790441,24.56485142,26.32718421,2.929390336,4.037449155,0.034747944
95,13,13,10.54,15.03,8.63,14.32206301,14.07886031,19.02031993,25.32389145,27.25486532,2.91492875,4.023475784,0.034617667
96,11,12,9.6,15.91,9.47,13.43503895,13.93031212,19.02375908,26.04400705,27.56688281,2.952320432,4.13716157,0.035380532
97,11,11,10.76,15.44,9.59,12.84046049,13.83571404,19.07535829,26.54809014,27.70557604,3.064203033,4.294765956,0.036737243
98,11,11,10.54,16.11,9.78,12.17320243,13.61960385,19.00700627,27.22469226,27.97549518,3.147515445,4.429681414,0.037843366
99,11,12,11.21,15.97,9.82,11.7154307,13.52624979,18.6780423,27.95591704,28.12436018,3.26915036,4.538914112,0.03901063
100,11,11,10.12,17.05,9.31,11.26935076,13.47823416,18.45886487,28.9229443,27.8706059,3.408913902,4.726450912,0.04065798
101,11,11,11.02,16.77,9.76,10.56482527,13.40776215,18.28091796,29.95454961,27.79194501,3.550815325,4.887196507,0.042181228
102,10,11,11.08,16.85,9.55,9.855750904,13.31567864,17.91217814,31.18237639,27.73401592,4.056749893,5.707434004,0.048822392
103,10,10,11.85,17.93,9.67,9.719608694,13.29285676,17.42316513,31.43055143,28.13381798,4.139495644,5.808773544,0.049754813
104,10,10,11.82,19.06,10.32,9.690261597,13.17520586,17.00233172,31.4885779,28.64362292,4.221917825,5.941599285,0.050842467
105,10,10,12.09,18.98,10.09,9.746020934,12.89241246,16.62660319,31.5469559,29.18800751,4.270769425,6.024730161,0.051515228
106,10,11,12.11,18.7,10.04,10.01192719,12.47195855,16.52264791,31.29068808,29.70277827,4.472395768,6.323298357,0.054030323
107,10,11,12.81,18.77,9.61,10.75203503,11.97891451,16.20706298,30.82151309,30.24047439,4.634415026,6.629991077,0.056391023
108,10.42065513,10.56460872,12.26,19.29,10.21,11.62341459,11.69849348,15.93476081,30.18672385,30.55660726,4.828816902,6.992599976,0.059195434
